year,ers_region,crop,cov_level,group,indemnity,liability,loss_cost,cert,trans
2018,Prairie Gateway,Corn,0.55,conventional,303141.0,5027271.0,0.060299315473544196,0,0
2018,Prairie Gateway,Corn,0.8,conventional,21649669.0,421977028.0,0.051305326033056,0,0
2018,Prairie Gateway,Wheat,0.65,conventional,8627877.0,30889672.0,0.2793126777131204,0,0
2018,Prairie Gateway,Wheat,0.7,conventional,36262353.0,156276579.0,0.23203958796666518,0,0
2018,Prairie Gateway,Wheat,0.75,certified,165226.0,1398006.0,0.1181869033466237,1,0
2018,Prairie Gateway,Corn,0.8,certified,1007109.0,9017065.0,0.11168922481982774,1,0
2018,Basin and Range,Wheat,0.55,conventional,118350.0,189511.0,0.6245020077990195,0,0
2018,Basin and Range,Wheat,0.6,conventional,22451.0,561348.0,0.039994798235675554,0,0
2018,Basin and Range,Wheat,0.6,certified,10358.0,32352.0,0.32016567754698316,1,0
2018,Basin and Range,Wheat,0.65,conventional,333656.0,1102839.0,0.30254280089840857,0,0
2018,Basin and Range,Wheat,0.65,certified,367962.0,612449.0,0.6008043118692332,1,0
2018,Basin and Range,Wheat,0.5,certified,117320.0,699609.0,0.1676936688921955,1,0
2018,Prairie Gateway,Wheat,0.5,conventional,2030535.0,7242882.0,0.280349037855373,0,0
2018,Prairie Gateway,Wheat,0.55,conventional,601750.0,1731088.0,0.3476137550488479,0,0
2018,Prairie Gateway,Wheat,0.6,conventional,3943638.0,12798785.0,0.3081259666444901,0,0
2018,Prairie Gateway,Wheat,0.7,certified,453487.0,5341837.0,0.08489345519153804,1,0
2018,Prairie Gateway,Wheat,0.7,transitional,3102.0,141113.0,0.02198238291298463,0,1
2018,Prairie Gateway,Wheat,0.75,conventional,25656659.0,122911296.0,0.2087412616656487,0,0
2018,Prairie Gateway,Wheat,0.8,conventional,4813577.0,32092549.0,0.14999048533041112,0,0
2018,Prairie Gateway,Corn,0.75,transitional,28128.0,705143.0,0.03988978122168128,0,1
2018,Prairie Gateway,Soybeans,0.65,conventional,881007.0,27163054.0,0.03243401864900758,0,0
2018,Prairie Gateway,Soybeans,0.7,conventional,4436967.0,131292487.0,0.033794523215939995,0,0
2018,Prairie Gateway,Soybeans,0.7,certified,122611.0,262961.0,0.4662706637105883,1,0
2018,Prairie Gateway,Soybeans,0.75,conventional,7413299.0,235854106.0,0.03143171482458736,0,0
2018,Northern Great Plains,Wheat,0.65,conventional,1248969.0,45383045.0,0.027520608191891928,0,0
